input_raw,pubmed_url,pmid,pmcid,is_pmc_article,accessions,accession_count,title,journal,pub_year,doi,authors,error_message
42139793,https://pubmed.ncbi.nlm.nih.gov/42139793/,42139793,,false,,0,"Effect of age, severity of diarrhoea, number of pathogens present and blooming of E. coli on metagenomic characteristics of stools from Danish dairy calves with diarrhoea.",Veterinary microbiology,2026,10.1016/j.vetmic.2026.111070,Jibril AH; Alencar ALF; Olsen JE; Hounmanou YMG,
42139081,https://pubmed.ncbi.nlm.nih.gov/42139081/,42139081,,false,,0,"Dietary Niches Drive Microbial Community Assembly, Network Reorganization, and Symbiont Evolution in Freshwater Fish Gut Microbiomes.",The ISME journal,2026,10.1093/ismejo/wrag125,Shen H; Song J; Li J; Hu Y; Peng N; Zhao S,
42127418,https://pubmed.ncbi.nlm.nih.gov/42127418/,42127418,,false,,0,"Impact of Maternal, Infant, and Household Factors on Early-life Gut Microbiome Development in a Rural Setting.",The ISME journal,2026,10.1093/ismejo/wrag124,Parizadeh M; Laforest-Lapointe I; Serrano-Vázquez A; Morán-Silva P; Rojas-Velázquez L; Torres J; Ximénez-García C; Arrieta MC,
42121788,https://pubmed.ncbi.nlm.nih.gov/42121788/,42121788,PMC13162629,true,,0,"Analysis of Ochetobibus elongatus (Kner) Dietary Habits Based on Digestive System Morphology, Histology, and Intestinal Content Sequencing Technology.",Animals : an open access journal from MDPI,2026,10.3390/ani16091369,Gao F; Zuo Z; Wu Q; Xiao H; Peng Z; Zou L; Jiang G; Tian X; Feng Z; Xie X; Tian L,
42121260,https://pubmed.ncbi.nlm.nih.gov/42121260/,42121260,PMC13173809,true,PRJNA953833,1,"Integrative analysis of the mouse cecal microbiome across diet, age, and weight in the diverse BXD population.",Microbiome,2026,10.1186/s40168-026-02369-x,Zhou Z; Lamanna A; Halder R; Pansart E; Narayanasamy S; Boussoufa B; Kerkour T; Wilmes P; Williams E,
42120383,https://pubmed.ncbi.nlm.nih.gov/42120383/,42120383,PMC13168452,true,PRJNA1029302;PRJNA1227608,2,Distribution of microbial carrageenan foraging pathways reveals a widespread latent trait within the ruminant intestinal microbiome.,Nature communications,2026,10.1038/s41467-026-70776-7,Tingley JP; Andersen TO; Mihalynuk LG; Xing X; Low KE; Whiteside DP; Altshuler I; Jujihara N; Shearer AY; Klassen L; Serin S; Smith E; Reintjes G; Patel TR; Boraston AB; Hagen LH; Pope PB; Abbott DW,
42118446,https://pubmed.ncbi.nlm.nih.gov/42118446/,42118446,,false,,0,Assessing the Safety and Probiotic Potential of Bifidobacterium longum subsp. infantis BI45: A Comprehensive Study from Genomic Analysis to Randomized Controlled Clinical Trial in Healthy Adults.,Probiotics and antimicrobial proteins,2026,10.1007/s12602-026-11044-4,Song S; Ding L; Yang S; Liu J; Wang Z; Qin Y; Qin X; Xu F; Zhou F,
42115187,https://pubmed.ncbi.nlm.nih.gov/42115187/,42115187,,false,,0,Gut microbiota dysbiosis drives depression-like behavior in adolescent rats via lysine-regulated mTOR autophagy pathway.,Translational psychiatry,2026,10.1038/s41398-026-04095-2,Zhang J; Chen F; Xu X; Zhang L; Zhang L; Qin B; Li K; Liu Q; Hou H; Li Y; Liu C; Li Y; Shi J; Teng T; Wang C; Zhou X,
42111294,https://pubmed.ncbi.nlm.nih.gov/42111294/,42111294,PMC13155110,true,PRJEB101201,1,Toward reproducible pig gut microbiome profiling through standardized methodologies.,ISME communications,2026,10.1093/ismeco/ycag097,Yergaliyev T; Enokela SO; Eberhardt G; Flisikowski K; Hornburg SC; Reyer H; Tetens J; Wimmers K; Zentek J; Camarinha-Silva A,
42106836,https://pubmed.ncbi.nlm.nih.gov/42106836/,42106836,PMC13156864,true,PRJNA1391520;PRJNA277984,2,Dietary iron and metal-based growth promoters differentially modulate the gut resistome and Escherichia coli virulome in weaned pigs.,Journal of animal science and biotechnology,2026,10.1186/s40104-026-01399-7,Navazesh SE; Ter Horst A; Wen W; Liu Y; Kiang D; Li Z; Yu A; Brown CT; Ji P,
42104937,https://pubmed.ncbi.nlm.nih.gov/42104937/,42104937,,false,,0,Snake Gut Microbiota as a Source of Anti-Inflammatory Probiotics: Isolation and Functional Characterization of Two Novel Strains.,Integrative zoology,2026,10.1111/1749-4877.70118,Kang X; Hu L; Song J; Zhang Z; Li Y; Zhang Q; Luo C; Pang Y; Guo P; Yue B; Li P; Fan Z,
